car_id,brand,model,year,mileage,horsepower,price
97,Citroen,C3,2011,339235,78,8000
98,Toyota,Yaris,2017,152569,115,34600
99,Peugeot,208,2015,114047,152,42600
100,Toyota,Yaris,2009,232405,73,8000
101,Toyota,C-HR,2018,86719,78,46100
102,Volkswagen,Golf,2022,86628,131,73900
103,Citroen,C3 Aircross,2025,8925,158,91300
104,Toyota,Corolla,2018,106658,177,60800
105,Volkswagen,Polo,2022,64334,68,64400
106,Volkswagen,Golf,2013,225902,108,26400
107,Citroen,C3 Aircross,2016,210186,75,21100
108,Peugeot,2008,2021,76652,125,65100
109,Volkswagen,Golf,2008,186080,96,13100
110,Citroen,C3 Aircross,2019,106872,160,56300
111,Toyota,Corolla,2019,133766,94,50800
112,Renault,Captur,2014,180894,162,35300
113,Peugeot,208,2014,234035,162,25600
114,Toyota,C-HR,2017,100813,111,48400
115,Peugeot,308,2008,361410,71,8000
116,Toyota,Corolla,2012,281746,176,12800
117,Renault,Captur,2017,139354,71,35800
118,Citroen,C4,2011,147228,145,25900
119,Renault,Clio,2012,259901,96,8000
120,Renault,Captur,2021,80954,164,66000
121,Toyota,Corolla,2022,60323,119,79000
122,Citroen,C3 Aircross,2009,328110,162,8000
123,Peugeot,2008,2014,156277,87,25300
124,Toyota,Yaris,2013,102157,125,44400
125,Citroen,C3,2015,145924,123,28300
126,Renault,Captur,2015,150631,149,32600
127,Peugeot,308,2011,269904,99,8000
128,Peugeot,208,2009,203476,170,10700
129,Toyota,Corolla,2022,34126,116,78400
130,Citroen,C3 Aircross,2025,2111,178,96800
131,Volkswagen,T-Roc,2018,151115,151,54000
132,Toyota,C-HR,2008,383060,70,8000
133,Peugeot,308,2024,30290,139,85600
134,Volkswagen,T-Roc,2023,19405,106,83000
135,Renault,Clio,2018,122522,116,44000
136,Toyota,Yaris,2022,37585,163,86700
137,Volkswagen,T-Roc,2008,365057,71,8000
138,Peugeot,2008,2019,135087,162,50200
139,Renault,Clio,2016,186705,177,41400
140,Volkswagen,Polo,2008,340917,85,8000
141,Citroen,C3 Aircross,2008,317693,172,8000
142,Renault,Megane,2011,301136,156,8000
143,Citroen,C3 Aircross,2016,175133,96,19300
144,Volkswagen,T-Roc,2012,219893,160,29500
145,Peugeot,208,2016,219680,165,29600
146,Toyota,Corolla,2008,241982,139,8000
147,Volkswagen,Polo,2022,60559,162,80500
148,Toyota,Corolla,2022,80119,95,59300
149,Toyota,Corolla,2015,229871,125,28500
150,Volkswagen,Golf,2012,245692,140,17100
151,Citroen,C3,2022,29447,157,77800
152,Peugeot,308,2012,112070,108,33200
153,Toyota,C-HR,2020,127251,151,63300
154,Toyota,Corolla,2018,150196,176,48600
155,Toyota,Yaris,2010,187174,94,8000
156,Renault,Megane,2011,305602,121,8000
157,Peugeot,2008,2017,105780,102,48400
158,Citroen,C4,2021,57375,152,74500
159,Peugeot,208,2013,124705,152,35600
160,Peugeot,308,2012,170342,97,21100
161,Renault,Megane,2017,176408,109,34000
162,Toyota,Corolla,2021,101535,90,68100
163,Volkswagen,Golf,2011,184974,102,21700
164,Citroen,C3,2020,104968,164,61800
165,Renault,Captur,2023,42464,167,78900
166,Citroen,C3,2014,229984,163,29900
167,Peugeot,2008,2011,282946,121,8000
168,Renault,Captur,2019,164826,106,48400
169,Volkswagen,Polo,2014,139560,111,28700
170,Toyota,C-HR,2016,115969,126,55400
171,Citroen,C3 Aircross,2018,82433,161,58900
172,Peugeot,2008,2020,94673,66,57500
173,Citroen,C3 Aircross,2011,233236,98,9800
174,Toyota,Corolla,2019,69260,144,62800
175,Toyota,Corolla,2015,236342,154,32400
176,Citroen,C3 Aircross,2021,73082,103,68700
177,Volkswagen,Polo,2011,197610,123,18600
178,Citroen,C3 Aircross,2025,2000,178,91300
179,Volkswagen,T-Roc,2011,234039,100,8000
180,Renault,Captur,2019,60327,174,71300
181,Citroen,C3,2019,139516,72,37100
182,Volkswagen,Golf,2014,153248,76,27400
183,Peugeot,2008,2008,178958,81,8000
184,Toyota,Yaris,2010,329546,169,8000
185,Peugeot,308,2012,307627,174,8600
186,Peugeot,208,2025,14844,175,92900
187,Renault,Clio,2008,269841,106,8000
188,Renault,Clio,2016,107351,79,41500
189,Renault,Megane,2022,76564,122,71300
190,Toyota,Yaris,2009,360550,131,8000
191,Citroen,C4,2008,203191,119,8000
192,Renault,Megane,2022,49347,83,64200
193,Renault,Clio,2016,182137,106,26400
194,Volkswagen,T-Roc,2024,11983,77,84000
195,Renault,Captur,2025,29254,178,88200
196,Peugeot,308,2018,115830,105,52000
197,Volkswagen,Golf,2016,168833,125,38100
198,Renault,Clio,2010,150394,112,20800
199,Peugeot,2008,2009,331179,150,8000
200,Renault,Megane,2019,151032,157,49500
201,Renault,Megane,2017,144209,84,39200
202,Volkswagen,Polo,2011,227518,162,17300
203,Citroen,C3 Aircross,2015,194632,169,23700
204,Toyota,C-HR,2025,2000,153,93100
205,Citroen,C3,2013,172179,108,18700
206,Citroen,C3,2013,136405,83,22700
207,Renault,Clio,2024,15648,85,81100
208,Citroen,C4,2018,188894,178,41900
209,Renault,Clio,2013,264417,99,8000
210,Volkswagen,T-Roc,2021,75079,92,62800
211,Toyota,Yaris,2019,126160,140,61100
212,Volkswagen,T-Roc,2017,94073,72,59000
213,Renault,Clio,2017,114359,102,36700
214,Citroen,C3,2008,308542,113,8000
215,Toyota,C-HR,2015,172534,110,31600
216,Renault,Megane,2009,301360,175,8000
217,Citroen,C3 Aircross,2021,77815,102,63600
218,Renault,Megane,2008,271516,123,8000
219,Citroen,C3,2021,54341,132,73500
220,Renault,Megane,2017,185211,86,33000
221,Renault,Captur,2011,239355,109,8000
222,Citroen,C3 Aircross,2012,187562,87,15600
223,Toyota,Yaris,2010,206522,124,13500
224,Toyota,C-HR,2022,94384,146,69700
225,Toyota,Corolla,2018,79239,145,64100
226,Citroen,C4,2009,240687,122,8000
227,Renault,Clio,2019,117169,174,62400
228,Renault,Captur,2024,15758,166,90100
229,Renault,Megane,2014,160018,72,20200
230,Volkswagen,Polo,2018,180549,70,39500
231,Peugeot,2008,2022,48520,111,70900
232,Citroen,C4,2020,96951,71,44100
233,Citroen,C3,2018,73298,97,50000
234,Toyota,Yaris,2018,76928,109,56800
235,Citroen,C3 Aircross,2020,43270,104,57800
236,Toyota,Corolla,2018,77894,159,57900
237,Toyota,Yaris,2021,79295,88,66600
238,Peugeot,308,2023,37393,74,73700
239,Citroen,C3,2024,24212,132,80300
240,Renault,Captur,2018,160506,84,33000
241,Peugeot,208,2013,259185,151,18000
242,Peugeot,308,2017,191822,133,32400
243,Peugeot,308,2023,16904,121,88300
244,Volkswagen,Golf,2020,72654,169,71400
245,Peugeot,2008,2012,196347,112,19700
246,Toyota,Yaris,2024,17633,99,90700
247,Volkswagen,T-Roc,2012,248445,169,25900
248,Volkswagen,Golf,2008,297729,95,8000
249,Volkswagen,Polo,2019,116048,172,65300
250,Citroen,C3,2012,129592,154,39400
251,Peugeot,2008,2023,29516,67,66100
252,Citroen,C3,2012,267170,119,8000
253,Renault,Megane,2015,159659,146,38200
254,Toyota,Corolla,2010,180374,133,16600
255,Renault,Captur,2024,37180,119,81300
256,Renault,Captur,2019,83607,150,59800
257,Renault,Captur,2019,85156,165,61200
258,Toyota,C-HR,2008,279651,114,8000
259,Citroen,C4,2008,269944,158,8000
260,Renault,Captur,2018,103979,169,58600
261,Peugeot,2008,2022,74028,82,64100
262,Renault,Captur,2022,37451,90,70300
263,Renault,Megane,2017,139295,125,47000
264,Citroen,C3,2014,151224,175,42900
265,Citroen,C4,2011,214244,121,12600
266,Volkswagen,Golf,2013,218588,167,25000
267,Toyota,Corolla,2010,323262,170,8000
268,Peugeot,2008,2017,136908,102,43500
269,Citroen,C4,2021,54522,70,56300
270,Citroen,C3 Aircross,2021,53891,72,54700
271,Renault,Captur,2020,69801,85,56800
272,Renault,Clio,2022,44457,147,77800
273,Citroen,C4,2020,116541,122,54300
274,Citroen,C4,2022,91792,111,63300
275,Volkswagen,Golf,2016,133555,88,40300
276,Volkswagen,T-Roc,2020,124518,155,67700
277,Volkswagen,Polo,2017,195402,80,30200
278,Peugeot,208,2022,57784,76,62900
279,Citroen,C3 Aircross,2019,158143,179,53800
280,Citroen,C3,2013,187890,90,17000
281,Peugeot,208,2023,18253,124,85300
282,Toyota,Yaris,2010,143967,157,44400
283,Volkswagen,T-Roc,2021,94782,81,63600
284,Citroen,C3 Aircross,2010,247799,81,8000
285,Toyota,C-HR,2013,293016,176,16500
286,Renault,Clio,2024,20634,155,88900
287,Peugeot,308,2024,32473,146,82500
288,Toyota,Corolla,2012,264531,129,17300
289,Peugeot,2008,2012,154858,142,23500
290,Citroen,C3 Aircross,2009,186395,163,19900
291,Toyota,Corolla,2014,243810,68,11200
292,Volkswagen,T-Roc,2025,7351,96,86100
293,Volkswagen,Golf,2022,38131,118,75700
294,Volkswagen,Golf,2014,166733,156,36200
295,Citroen,C3 Aircross,2019,116587,136,55500
296,Renault,Megane,2015,192477,83,25500
297,Renault,Clio,2017,145846,175,45200
298,Peugeot,308,2018,98040,130,49700
299,Volkswagen,Golf,2017,182948,129,42500
300,Volkswagen,Polo,2014,220355,128,27100
301,Toyota,C-HR,2023,18399,120,82000
302,Peugeot,308,2019,147607,71,42200
303,Toyota,C-HR,2014,174837,129,32400
304,Volkswagen,T-Roc,2016,189553,77,28200
305,Volkswagen,Golf,2018,163774,90,39400
306,Toyota,C-HR,2020,106431,156,65800
307,Citroen,C4,2024,48026,82,78200
308,Citroen,C3 Aircross,2018,80300,172,63800
309,Citroen,C3 Aircross,2018,145475,155,43300
310,Toyota,Corolla,2023,15655,118,88300
311,Toyota,Corolla,2008,307067,165,8000
312,Toyota,C-HR,2015,242032,132,27000
313,Toyota,Corolla,2012,282908,154,18200
314,Renault,Clio,2008,289370,153,8000
315,Peugeot,308,2024,33030,173,85700
316,Renault,Captur,2012,247789,149,16900
317,Volkswagen,T-Roc,2020,97664,133,63100
318,Citroen,C3 Aircross,2019,143151,147,43600
319,Citroen,C3 Aircross,2023,45809,103,70700
320,Peugeot,308,2017,189913,105,39300
321,Volkswagen,Golf,2025,19924,151,96200
322,Toyota,Corolla,2020,108733,102,55800
323,Renault,Megane,2010,250353,160,8000
324,Volkswagen,Polo,2014,211846,99,28600
325,Peugeot,208,2015,167425,93,32000
326,Peugeot,208,2011,230005,152,19200
327,Peugeot,208,2025,2000,177,102200
328,Volkswagen,Golf,2014,266900,147,20300
329,Renault,Clio,2015,193775,69,12500
330,Peugeot,308,2013,136802,128,32800
331,Peugeot,2008,2017,102037,78,44000
332,Citroen,C4,2022,64538,82,61500
333,Toyota,Corolla,2016,125473,158,47400
334,Volkswagen,T-Roc,2016,215379,166,44000
335,Citroen,C3 Aircross,2014,129371,116,29300
336,Volkswagen,T-Roc,2018,79004,82,55500
337,Volkswagen,Golf,2015,99625,161,55700
338,Citroen,C4,2017,166578,148,39700
339,Citroen,C3 Aircross,2015,103554,85,32000
340,Volkswagen,T-Roc,2024,43338,146,80700
341,Citroen,C4,2015,151688,123,32100
342,Toyota,Corolla,2021,89603,133,66700
343,Peugeot,208,2010,264063,74,8000
344,Toyota,Yaris,2009,312133,133,8000
345,Peugeot,208,2018,123274,156,56000
346,Toyota,Corolla,2010,273951,81,8000
347,Toyota,Corolla,2022,85455,168,78100
348,Citroen,C3 Aircross,2008,278739,92,8000
349,Toyota,Yaris,2009,268559,72,8000
350,Renault,Megane,2009,215685,163,15200
351,Volkswagen,Golf,2020,115936,113,52300
352,Renault,Captur,2025,4857,87,79900
353,Toyota,Corolla,2024,20990,65,76100
354,Renault,Megane,2022,77703,113,61700
355,Peugeot,208,2022,63038,177,80400
356,Renault,Clio,2021,97876,67,45100
357,Peugeot,208,2010,159605,151,20900
358,Renault,Clio,2009,251166,161,8000
359,Renault,Clio,2024,30134,138,91700
360,Citroen,C3 Aircross,2018,100915,149,56100
361,Toyota,Yaris,2021,67205,140,77700
362,Peugeot,2008,2021,58410,147,72300
363,Volkswagen,T-Roc,2018,157363,113,47200
364,Peugeot,2008,2023,44776,155,78500
365,Peugeot,308,2009,299010,132,8000
366,Peugeot,308,2015,149949,122,41500
367,Citroen,C3,2025,22738,113,81500
368,Toyota,C-HR,2009,180963,157,27000
369,Toyota,Yaris,2023,44632,66,69600
370,Peugeot,208,2011,332241,96,8000
371,Toyota,C-HR,2014,199072,164,31200
372,Citroen,C4,2022,64847,111,63800
373,Toyota,Corolla,2022,48719,162,75500
374,Citroen,C3,2019,85653,93,54500
375,Peugeot,208,2016,195129,118,29100
376,Citroen,C3,2014,174799,96,28100
377,Volkswagen,T-Roc,2018,106893,157,55500
378,Volkswagen,Golf,2013,275102,157,15800
379,Toyota,Corolla,2013,262540,132,15700
380,Renault,Clio,2009,372395,145,8000
381,Peugeot,208,2012,130671,72,27600
382,Toyota,C-HR,2023,58024,135,79500
383,Volkswagen,Polo,2008,315529,101,8000
384,Renault,Captur,2021,63910,84,62200
385,Peugeot,208,2024,30040,115,78300
386,Renault,Megane,2020,65611,93,54200
387,Citroen,C3 Aircross,2010,332721,69,8000
388,Renault,Megane,2020,87217,66,51500
389,Peugeot,208,2023,41724,174,81500
390,Renault,Captur,2009,222786,178,20200
391,Toyota,Corolla,2016,113815,100,42000
392,Toyota,C-HR,2009,212346,91,8000
393,Toyota,Yaris,2020,56849,137,75800
394,Volkswagen,T-Roc,2025,2000,166,103500
395,Renault,Captur,2019,76283,74,53500
396,Citroen,C3 Aircross,2020,122181,165,63800
397,Volkswagen,Golf,2015,152116,88,33300
398,Toyota,C-HR,2020,63818,96,60900
399,Renault,Clio,2016,99948,84,45100
400,Volkswagen,Golf,2019,99315,121,64700
401,Citroen,C4,2011,178423,136,21000
402,Toyota,C-HR,2021,64523,76,65100
403,Toyota,C-HR,2018,134853,164,56400
404,Renault,Captur,2025,6396,113,85200
405,Peugeot,208,2016,138552,86,38200
406,Volkswagen,Golf,2021,64777,97,67900
407,Peugeot,2008,2023,46316,82,68200
408,Citroen,C3,2020,93044,175,61500
409,Citroen,C4,2018,137947,141,39700
410,Peugeot,308,2018,158662,105,40400
411,Peugeot,308,2018,108587,138,48100
412,Peugeot,308,2020,86416,79,51700
413,Toyota,Yaris,2025,5637,158,92300
414,Volkswagen,T-Roc,2014,200877,73,14500
415,Volkswagen,T-Roc,2023,27862,149,84400
416,Peugeot,2008,2021,100259,141,67500
417,Volkswagen,T-Roc,2020,79556,153,69600
418,Volkswagen,T-Roc,2009,391532,168,8000
419,Toyota,C-HR,2010,174743,110,12600
420,Peugeot,2008,2009,327815,116,8000
421,Citroen,C4,2011,144502,160,29100
422,Toyota,C-HR,2015,169922,151,42900
423,Toyota,C-HR,2024,21434,78,81300
424,Citroen,C4,2010,183913,109,8000
425,Citroen,C4,2022,91085,125,68700
426,Renault,Megane,2022,60209,155,74800
427,Renault,Clio,2018,173572,159,49200
428,Peugeot,2008,2013,242772,124,19700
429,Peugeot,308,2013,148581,68,19600
430,Toyota,Yaris,2022,73783,92,68300
431,Peugeot,308,2010,314869,88,8000
432,Citroen,C4,2014,211445,127,25200
433,Toyota,C-HR,2018,141073,79,46200
434,Citroen,C4,2022,84855,167,76300
435,Citroen,C3 Aircross,2010,324180,104,8000
436,Renault,Clio,2019,150034,141,52100
437,Peugeot,2008,2020,102282,153,68000
438,Peugeot,2008,2013,219419,172,28100
439,Volkswagen,T-Roc,2009,266182,89,8000
440,Volkswagen,T-Roc,2024,21174,118,86700
441,Volkswagen,Golf,2013,114990,93,32300
442,Citroen,C3,2016,119749,123,40900
443,Toyota,C-HR,2023,38405,99,77400
444,Toyota,Corolla,2025,39869,134,89900
445,Peugeot,308,2011,325522,103,8000
446,Renault,Megane,2016,150427,175,43300
447,Renault,Clio,2014,243527,155,19000
448,Toyota,C-HR,2021,42917,169,75800
449,Peugeot,208,2019,121142,106,55300
450,Citroen,C4,2016,192302,77,23100
451,Peugeot,308,2009,234425,175,10100
452,Peugeot,208,2012,285208,172,14800
453,Volkswagen,Golf,2012,247077,113,9600
454,Volkswagen,Polo,2010,239956,177,17200
455,Citroen,C4,2023,22032,173,80900
456,Renault,Captur,2022,71798,73,58100
457,Toyota,Corolla,2014,198821,106,21800
458,Citroen,C4,2025,34473,165,93500
459,Citroen,C3 Aircross,2009,182810,123,14500
460,Renault,Clio,2013,175157,119,27400
461,Peugeot,2008,2012,267260,177,23400
462,Citroen,C3,2019,107123,148,58800
463,Peugeot,208,2020,109135,94,59600
464,Volkswagen,T-Roc,2010,335335,74,8000
465,Peugeot,2008,2015,191911,154,33100
466,Citroen,C3,2021,104957,114,58700
467,Renault,Captur,2011,150752,82,24600
468,Volkswagen,Polo,2012,140143,148,35500
469,Peugeot,308,2019,150437,117,53700
470,Toyota,C-HR,2022,54958,161,81400
471,Renault,Captur,2020,98705,82,51500
472,Peugeot,308,2010,193700,142,14900
473,Citroen,C3 Aircross,2008,361950,142,8000
474,Toyota,Yaris,2020,70301,166,67100
475,Peugeot,308,2020,66040,74,63600
476,Toyota,Yaris,2019,115390,137,64400
477,Volkswagen,Golf,2025,26505,163,98800
478,Renault,Clio,2010,147338,72,14300
479,Volkswagen,T-Roc,2017,168915,119,35400
480,Volkswagen,Polo,2025,10593,104,87200
481,Renault,Captur,2014,126905,146,37500
482,Renault,Megane,2021,113279,96,54000
483,Renault,Megane,2011,243346,150,10400
484,Peugeot,208,2008,371944,128,8000
485,Citroen,C3 Aircross,2024,47746,112,72700
486,Peugeot,2008,2016,225665,68,15100
487,Citroen,C4,2016,193257,138,34200
488,Renault,Megane,2022,60462,137,75400
489,Peugeot,308,2013,175042,151,21500
490,Renault,Clio,2024,41097,96,77600
491,Renault,Megane,2019,113526,174,58100
492,Renault,Captur,2021,57961,157,75700
493,Citroen,C4,2010,283942,180,8300
494,Renault,Clio,2015,221534,73,15300
495,Volkswagen,Golf,2017,140609,112,47900
496,Peugeot,308,2017,180442,140,36400
497,Volkswagen,Polo,2025,23411,117,86900
498,Renault,Clio,2025,2553,66,75900
499,Citroen,C3,2020,125749,132,51800
500,Peugeot,308,2023,36495,100,74800
